ats_118.data (written by ASE) 

16 	 atoms 
2  atom types
0.0      5.7599999999999998  xlo xhi
0.0      5.7599999999999998  ylo yhi
0.0      5.7599999999999998  zlo zhi


Atoms 

     1   1                       0                       0                       0
     2   2      1.4399999999999997      1.4399999999999997      1.4399999999999997
     3   1                       0                       0      2.8799999999999994
     4   2      1.4399999999999997      1.4399999999999997      4.3200000000000003
     5   2                       0      2.8799999999999994                       0
     6   1      1.4399999999999997      4.3200000000000003      1.4399999999999997
     7   2                       0      2.8799999999999994      2.8799999999999994
     8   1      1.4399999999999997      4.3200000000000003      4.3200000000000003
     9   2      2.8799999999999994                       0                       0
    10   2      4.3200000000000003      1.4399999999999997      1.4399999999999997
    11   2      2.8799999999999994                       0      2.8799999999999994
    12   1      4.3200000000000003      1.4399999999999997      4.3200000000000003
    13   2      2.8799999999999994      2.8799999999999994                       0
    14   1      4.3200000000000003      4.3200000000000003      1.4399999999999997
    15   1      2.8799999999999994      2.8799999999999994      2.8799999999999994
    16   1      4.3200000000000003      4.3200000000000003      4.3200000000000003
